group	x	y	clickSelects
7304	-262958400	25.8	647200
7304	-260366400	21.7	647200
7304	-257688000	18.2	647200
7304	-255096000	15.6	647200
11197	-249739200	15.2	647200
11197	-247320000	21.9	647200
11197	-244641600	23.8	647200
11197	-242049600	26.3	647200
11197	-239371200	25.6	647200
11197	-236779200	29.7	647200
11197	-234100800	27.1	647200
11197	-231422400	21.9	647200
11197	-228830400	22.4	647200
14537	-223560000	25.7	647200
14537	-220881600	21.7	647200
14537	-218203200	25.5	647200
14537	-215784000	24.5	647200
20056	-194616000	25.3	647200
20056	-192024000	17.9	647200
20056	-189345600	11.2	647200
20056	-186667200	15.8	647200
20056	-184161600	20.2	647200
20056	-181483200	27	647200
20056	-178891200	25.6	647200
20056	-176212800	28.2	647200
20056	-173620800	28.2	647200
20056	-170942400	28	647200
20056	-168264000	24.4	647200
20056	-165672000	22.7	647200
22386	-144676800	28	647200
22386	-142084800	28	647200
22386	-139406400	32	647200
22386	-136728000	30	647200
24534	-131457600	18.4	647200
24534	-128865600	15.5	647200
24534	-126187200	17.5	647200
