group	x	y	clickSelects
2317	-599572800	25.4	646010
2317	-596894400	25.9	646010
2317	-594475200	25.4	646010
2317	-591796800	26.3	646010
2317	-589204800	25.6	646010
2317	-586526400	25.3	646010
2317	-583934400	24.2	646010
2317	-581256000	23.3	646010
2317	-578577600	23.9	646010
2317	-575985600	23.9	646010
2317	-573307200	24.9	646010
2317	-570715200	25.1	646010
2317	-568036800	26.3	646010
2317	-565358400	26.3	646010
2317	-562852800	26.7	646010
2317	-560174400	26	646010
2317	-557582400	24.7	646010
2318	-599572800	24.5	646030
2318	-596894400	27	646030
2318	-594475200	29.1	646030
2318	-591796800	29.2	646030
2318	-589204800	28	646030
2318	-586526400	26.1	646030
2318	-583934400	25.6	646030
2318	-581256000	25.4	646030
2318	-578577600	25.7	646030
2318	-575985600	26	646030
2318	-573307200	25.8	646030
2318	-570715200	23.4	646030
2318	-568036800	25.4	646030
2318	-565358400	27.4	646030
2319	-481291200	23.8	646050
2319	-478612800	24.4	646050
2319	-476020800	24.1	646050
2319	-473342400	24.3	646050
2319	-470664000	27.3	646050
2319	-468244800	26.4	646050
2319	-465566400	25.1	646050
2319	-462974400	25.1	646050
2319	-460296000	25.3	646050
2319	-457704000	23.1	646050
2319	-455025600	22.7	646050
2319	-452347200	24.9	646050
2319	-449755200	23.9	646050
2319	-447076800	24.4	646050
2319	-444484800	23.6	646050
2319	-441806400	23.8	646050
2319	-439128000	26.7	646050
2319	-436622400	25.4	646050
2319	-433944000	25.8	646050
2319	-431352000	25	646050
2319	-428673600	23.7	646050
2319	-426081600	23.1	646050
2319	-423403200	23.2	646050
2319	-420724800	23.3	646050
2319	-418132800	23.9	646050
2319	-415454400	24.6	646050
2319	-412862400	23.8	646050
2319	-410184000	24.3	646050
2319	-407505600	25.2	646050
2319	-405086400	25.9	646050
2319	-402408000	25.7	646050
2319	-399816000	25.2	646050
2319	-397137600	24.3	646050
2319	-394545600	23.8	646050
2319	-391867200	23.8	646050
2319	-389188800	23.6	646050
2320	-494510400	26.6	646100
2320	-491832000	25.6	646100
2320	-489240000	24.9	646100
2320	-486561600	24.7	646100
2320	-483883200	24.7	646100
2333	-599572800	22.5	647060
2333	-596894400	24.7	647060
2333	-594475200	28.2	647060
2333	-591796800	29.5	647060
2333	-589204800	29.1	647060
2333	-586526400	29.1	647060
2333	-583934400	26	647060
2333	-581256000	25.8	647060
2333	-578577600	24.9	647060
2333	-575985600	26.7	647060
2333	-573307200	24.8	647060
2333	-570715200	22.9	647060
2333	-568036800	27.4	647060
2333	-565358400	28.3	647060
2333	-562852800	31.6	647060
2333	-560174400	32	647060
2333	-557582400	29.3	647060
2333	-554904000	27.1	647060
2333	-552312000	25.9	647060
2333	-549633600	25.3	647060
2333	-546955200	25.7	647060
2333	-544363200	26.4	647060
2333	-541684800	26.4	647060
2333	-539092800	24.8	647060
2333	-536414400	25.2	647060
2333	-533736000	28.9	647060
2333	-531316800	31.5	647060
2333	-528638400	32.3	647060
2333	-526046400	28.7	647060
2333	-523368000	26.3	647060
2333	-520776000	25.3	647060
2333	-518097600	25.6	647060
2333	-515419200	25.7	647060
2333	-512827200	26.7	647060
2333	-510148800	26.3	647060
2333	-507556800	23.6	647060
2333	-504878400	25	647060
2333	-502200000	30	647060
2333	-499780800	31.6	647060
2333	-497102400	31.2	647060
2333	-494510400	28.6	647060
2333	-491832000	25.4	647060
2333	-489240000	25	647060
2333	-486561600	25.2	647060
2333	-483883200	25.4	647060
2333	-481291200	26	647060
2333	-478612800	26.2	647060
2333	-476020800	24.4	647060
2333	-473342400	24.5	647060
2333	-470664000	27.9	647060
2333	-468244800	31.5	647060
2333	-465566400	30.3	647060
2333	-462974400	27.8	647060
2333	-460296000	25.7	647060
2333	-457704000	24.8	647060
2333	-455025600	24.7	647060
2333	-452347200	24.9	647060
2333	-449755200	26.2	647060
2333	-447076800	25.7	647060
2333	-444484800	23.3	647060
2333	-441806400	23.2	647060
2333	-439128000	28	647060
2333	-436622400	29.9	647060
2333	-433944000	31.4	647060
2333	-431352000	29.5	647060
2333	-428673600	26.3	647060
2333	-426081600	25.1	647060
2333	-423403200	24.9	647060
2333	-420724800	25	647060
2333	-418132800	26.1	647060
2333	-415454400	26.3	647060
2333	-412862400	23.9	647060
2333	-410184000	23.4	647060
2333	-407505600	25.1	647060
2333	-405086400	28.6	647060
2333	-402408000	30.2	647060
2333	-399816000	28.8	647060
2333	-397137600	27.2	647060
2333	-394545600	28.9	647060
2333	-391867200	25.9	647060
2333	-389188800	26	647060
2333	-386596800	26.6	647060
2333	-383918400	26.8	647060
2333	-381326400	24.7	647060
2333	-378648000	25.2	647060
2333	-375969600	24.9	647060
2333	-373550400	31.9	647060
2333	-370872000	32	647060
2333	-368280000	29.4	647060
2333	-365601600	25.9	647060
2333	-363009600	25.4	647060
2333	-360331200	25.3	647060
2333	-357652800	25.8	647060
2333	-355060800	26.7	647060
2333	-352382400	27	647060
2333	-349790400	25	647060
2333	-347112000	24.5	647060
2333	-344433600	26.7	647060
2333	-342014400	29.7	647060
2333	-339336000	30.4	647060
2333	-336744000	28.6	647060
2333	-334065600	26.4	647060
2333	-331473600	25.9	647060
2333	-328795200	25	647060
2333	-326116800	25.3	647060
2333	-323524800	26.8	647060
2333	-320846400	26	647060
2333	-318254400	23.8	647060
2333	-315576000	24.3	647060
2333	-312897600	27	647060
2333	-310392000	29.9	647060
2333	-307713600	28.6	647060
2333	-305121600	28.3	647060
2333	-302443200	26.3	647060
2333	-299851200	25.1	647060
2333	-297172800	25.8	647060
2333	-294494400	25.5	647060
2333	-291902400	26.6	647060
2333	-289224000	25	647060
2333	-286632000	25.5	647060
2333	-283953600	25.4	647060
2333	-281275200	25.5	647060
2333	-278856000	29.1	647060
2333	-276177600	29	647060
2333	-273585600	29.8	647060
2333	-270907200	26	647060
2333	-268315200	24.4	647060
2333	-265636800	25.3	647060
2333	-262958400	25.4	647060
2333	-260366400	26.7	647060
2333	-257688000	24.6	647060
2333	-255096000	21.7	647060
2333	-252417600	22.8	647060
2333	-249739200	24.8	647060
2333	-247320000	30	647060
2333	-244641600	30	647060
2333	-242049600	28.2	647060
2333	-239371200	29.1	647060
2333	-236779200	25.7	647060
2333	-234100800	25.4	647060
2333	-231422400	25.6	647060
2333	-228830400	25.6	647060
2333	-226152000	27.5	647060
2333	-223560000	24.9	647060
2333	-220881600	24	647060
2333	-218203200	28.3	647060
2333	-215784000	29.9	647060
2333	-213105600	29.5	647060
2333	-210513600	27.8	647060
2333	-207835200	26.5	647060
2333	-205243200	23.5	647060
2333	-202564800	25.4	647060
2333	-199886400	26.4	647060
2335	-536414400	24.9	647090
2335	-533736000	28.2	647090
2335	-531316800	31.3	647090
2335	-528638400	31.4	647090
2335	-526046400	28.3	647090
2335	-523368000	26.9	647090
2335	-520776000	25.6	647090
2335	-518097600	25.4	647090
2335	-515419200	26	647090
2335	-512827200	26.6	647090
2335	-510148800	26.5	647090
2335	-507556800	23.2	647090
2335	-504878400	24.2	647090
2335	-502200000	28.6	647090
2335	-499780800	30.7	647090
2335	-497102400	30.8	647090
2335	-494510400	29	647090
2335	-491832000	26.3	647090
2335	-489240000	24.8	647090
2335	-486561600	24.6	647090
2335	-483883200	25.4	647090
2335	-481291200	26.5	647090
2335	-478612800	27	647090
2335	-476020800	25.5	647090
2335	-473342400	25.6	647090
2335	-470664000	28.4	647090
2335	-468244800	31.1	647090
2335	-465566400	30.8	647090
2335	-462974400	28.7	647090
2335	-460296000	26.3	647090
2335	-457704000	25.1	647090
2335	-455025600	24.9	647090
2335	-452347200	25.2	647090
2335	-449755200	26	647090
2335	-447076800	26.6	647090
2335	-444484800	24.4	647090
2335	-441806400	24.9	647090
2335	-439128000	29.4	647090
2335	-436622400	30.8	647090
2335	-433944000	30.8	647090
2335	-431352000	31.4	647090
2335	-428673600	27.8	647090
2335	-426081600	25.7	647090
2335	-423403200	24.9	647090
2335	-420724800	25.5	647090
2335	-418132800	26.8	647090
2335	-415454400	28.2	647090
