group	x	y	clickSelects
171	-599572800	-1.2	119340
171	-596894400	-0.1	119340
171	-594475200	0.4	119340
171	-591796800	6	119340
171	-589204800	10.6	119340
171	-586526400	14.4	119340
171	-583934400	15.7	119340
171	-581256000	16.7	119340
171	-578577600	13	119340
171	-575985600	4.3	119340
171	-573307200	4.7	119340
171	-570715200	-0.3	119340
171	-568036800	-3.1	119340
171	-565358400	-3.7	119340
171	-562852800	-5.2	119340
171	-560174400	8	119340
171	-557582400	8.8	119340
171	-554904000	14.1	119340
171	-552312000	16.5	119340
171	-549633600	17.1	119340
171	-546955200	10.2	119340
171	-544363200	6	119340
171	-541684800	0.3	119340
171	-539092800	-3.6	119340
171	-536414400	-4.4	119340
171	-533736000	-2.8	119340
171	-531316800	0.2	119340
171	-528638400	6.5	119340
171	-526046400	10.5	119340
171	-523368000	15.3	119340
171	-520776000	17.1	119340
171	-518097600	14.3	119340
171	-515419200	12.1	119340
171	-512827200	7.5	119340
171	-510148800	1.3	119340
171	-507556800	-2.4	119340
171	-504878400	-10.7	119340
171	-502200000	-8.6	119340
171	-499780800	2.6	119340
171	-497102400	3.2	119340
171	-494510400	11	119340
171	-491832000	15.5	119340
171	-489240000	14.5	119340
171	-486561600	15.2	119340
171	-483883200	12.7	119340
171	-481291200	6.3	119340
171	-478612800	1.3	119340
171	-476020800	0.1	119340
171	-473342400	-5.3	119340
171	-470664000	-3.9	119340
171	-468244800	-2	119340
171	-465566400	2.9	119340
171	-462974400	9.3	119340
171	-460296000	13.3	119340
171	-457704000	15.4	119340
171	-455025600	14.4	119340
171	-452347200	11.4	119340
171	-449755200	6.7	119340
171	-447076800	0.6	119340
171	-444484800	-0.7	119340
171	-441806400	-3.4	119340
171	-439128000	-12.7	119340
171	-436622400	-2.7	119340
171	-433944000	4.9	119340
171	-431352000	10.5	119340
171	-428673600	13.8	119340
171	-426081600	15.6	119340
171	-423403200	14.6	119340
171	-420724800	11.6	119340
171	-418132800	5.8	119340
171	-415454400	-3.5	119340
171	-412862400	-2.8	119340
171	-410184000	-5	119340
171	-407505600	-0.4	119340
171	-405086400	1.2	119340
171	-402408000	5.7	119340
171	-399816000	7.6	119340
171	-397137600	15.6	119340
171	-394545600	16.2	119340
171	-391867200	14.2	119340
171	-389188800	10	119340
171	-386596800	6.1	119340
171	-383918400	1.9	119340
171	-381326400	-2.9	119340
171	-378648000	-4.7	119340
171	-375969600	-0.3	119340
171	-373550400	-3.9	119340
171	-370872000	2.4	119340
171	-368280000	14.2	119340
171	-365601600	12.9	119340
171	-363009600	16.1	119340
171	-360331200	15.1	119340
171	-357652800	10.8	119340
171	-355060800	7	119340
171	-352382400	2.3	119340
171	-349790400	-0.3	119340
171	-347112000	-4.3	119340
171	-344433600	-4.3	119340
171	-342014400	2.7	119340
171	-339336000	5.6	119340
171	-336744000	10.4	119340
171	-334065600	13.1	119340
171	-331473600	17.1	119340
171	-328795200	14.8	119340
171	-326116800	9	119340
171	-323524800	5	119340
171	-320846400	0.6	119340
171	-318254400	0.4	119340
171	-315576000	-5.5	119340
171	-312897600	-4.9	119340
171	-310392000	0.9	119340
171	-307713600	4.6	119340
171	-305121600	9.7	119340
171	-302443200	13.6	119340
171	-299851200	14.1	119340
171	-297172800	14.6	119340
171	-294494400	9.5	119340
171	-291902400	8.3	119340
171	-289224000	3.6	119340
171	-286632000	1.1	119340
171	-283953600	-4.9	119340
171	-281275200	-1.9	119340
171	-278856000	3.4	119340
171	-276177600	8.6	119340
171	-273585600	9	119340
171	-270907200	15.1	119340
171	-268315200	14.3	119340
171	-265636800	14.6	119340
171	-262958400	13	119340
171	-260366400	8	119340
171	-257688000	1.8	119340
171	-255096000	-5.1	119340
171	-252417600	-2.8	119340
171	-249739200	-4.5	119340
171	-247320000	-2.8	119340
171	-244641600	7.6	119340
171	-242049600	8.9	119340
171	-239371200	11.9	119340
171	-236779200	13.6	119340
171	-234100800	16	119340
171	-231422400	10.4	119340
171	-228830400	6.3	119340
171	-226152000	2.2	119340
171	-223560000	-8.2	119340
171	-220881600	-11.5	119340
171	-218203200	-9.7	119340
171	-215784000	-2	119340
171	-213105600	6	119340
171	-210513600	11.3	119340
171	-207835200	14.6	119340
171	-205243200	17	119340
171	-202564800	16.2	119340
171	-199886400	12.9	119340
171	-197294400	6.3	119340
171	-194616000	5.4	119340
171	-192024000	-7	119340
171	-189345600	-8.5	119340
171	-186667200	-5	119340
171	-184161600	-2.2	119340
171	-181483200	6.7	119340
171	-178891200	10.7	119340
171	-176212800	17.2	119340
171	-173620800	15.8	119340
171	-170942400	14	119340
171	-168264000	11.2	119340
171	-165672000	6.2	119340
171	-162993600	2.4	119340
171	-160401600	-2.7	119340
171	-157723200	-3.8	119340
171	-155044800	-7.8	119340
171	-152625600	-0.3	119340
171	-149947200	4.4	119340
171	-147355200	9	119340
171	-144676800	14.2	119340
171	-142084800	14.5	119340
171	-139406400	12.8	119340
171	-136728000	11.2	119340
171	-134136000	4.5	119340
171	-131457600	-2.2	119340
171	-128865600	-2.5	119340
171	-126187200	-6.9	119340
171	-123508800	2.4	119340
171	-121089600	0.7	119340
171	-118411200	8	119340
171	-115819200	11.4	119340
171	-113140800	13.9	119340
171	-110548800	15.4	119340
171	-107870400	14.3	119340
171	-105192000	10.8	119340
171	-102600000	10.3	119340
171	-99921600	1.5	119340
171	-97329600	-3.5	119340
171	-94651200	-6.3	119340
171	-91972800	-3	119340
171	-89553600	2	119340
171	-86875200	5.6	119340
171	-84283200	11.4	119340
171	-81604800	13.7	119340
171	-79012800	17	119340
171	-76334400	15	119340
171	-73656000	13.4	119340
171	-71064000	9.1	119340
171	-68385600	1.6	119340
171	-65793600	-4.4	119340
171	-63115200	-6.3	119340
171	-60436800	-1.2	119340
171	-57931200	1.2	119340
171	-55252800	7.9	119340
171	-52660800	11.2	119340
171	-49982400	15.4	119340
171	-47390400	14.6	119340
171	-44712000	14	119340
171	-42033600	11.5	119340
171	-39441600	6.6	119340
171	-36763200	2.7	119340
171	-34171200	-7.2	119340
171	-31492800	-7.2	119340
171	-28814400	-3.4	119340
171	-26395200	-2.8	119340
171	-23716800	4.7	119340
171	-21124800	13.6	119340
171	-18446400	13.8	119340
171	-15854400	15.9	119340
171	-13176000	14.4	119340
171	-10497600	11.8	119340
171	-7905600	7.2	119340
171	-5227200	4.2	119340
171	-2635200	-6.8	119340
171	43200	-4.4	119340
171	2721600	-5.3	119340
171	5140800	-1.2	119340
171	7819200	5.3	119340
171	10411200	9.9	119340
171	13089600	14.9	119340
171	15681600	15.5	119340
171	18360000	14.9	119340
171	21038400	10	119340
171	23630400	5.7	119340
171	26308800	3.4	119340
171	28900800	-2.1	119340
171	31579200	-3.6	119340
171	34257600	-1.8	119340
171	36676800	-1.7	119340
171	39355200	6.5	119340
171	41947200	12.8	119340
171	44625600	13.2	119340
171	47217600	15.5	119340
171	49896000	16.2	119340
171	52574400	9	119340
171	55166400	6	119340
171	57844800	1	119340
171	60436800	0	119340
171	63115200	-5.9	119340
171	65793600	-0.2	119340
171	68299200	3.2	119340
171	70977600	6.8	119340
171	73569600	11	119340
171	76248000	14.9	119340
171	78840000	16.9	119340
171	81518400	14.3	119340
171	84196800	9.1	119340
171	86788800	4.1	119340
171	89467200	2	119340
171	92059200	-2.4	119340
171	94737600	-3.1	119340
171	97416000	-1.2	119340
171	99835200	0.8	119340
171	102513600	4.8	119340
171	105105600	11.7	119340
171	107784000	13.6	119340
171	110376000	15.3	119340
171	113054400	15.1	119340
171	115732800	12.2	119340
171	118324800	5.2	119340
171	121003200	-0.8	119340
171	123595200	-2.4	119340
171	126273600	-2.1	119340
171	128952000	1	119340
171	131371200	3.4	119340
171	134049600	5.3	119340
171	136641600	9.8	119340
171	139320000	12	119340
171	141912000	14.7	119340
171	144590400	16.9	119340
171	147268800	11.8	119340
171	149860800	3.6	119340
171	152539200	1.3	119340
171	155131200	-1.2	119340
171	157809600	0.3	119340
171	160488000	-3.3	119340
171	162907200	2.8	119340
171	165585600	6	119340
171	168177600	12.3	119340
171	170856000	14.1	119340
171	173448000	16.4	119340
171	176126400	15.6	119340
171	178804800	13.6	119340
171	181396800	6.5	119340
171	184075200	0.2	119340
171	186667200	-2.2	119340
171	189345600	-4.6	119340
171	192024000	-5.1	119340
171	194529600	-2.6	119340
171	197208000	6.3	119340
171	199800000	10.8	119340
171	202478400	13.8	119340
171	205070400	16.4	119340
171	207748800	12.6	119340
171	210427200	11.1	119340
171	213019200	8	119340
171	215697600	3.2	119340
