group	x	y	clickSelects
4384	-1546257600	22.9	765930
4384	-1543579200	23.1	765930
4384	-1541160000	25.1	765930
4384	-1538481600	25.7	765930
4384	-1535889600	25.1	765930
4384	-1533211200	26.8	765930
4384	-1530619200	27	765930
4384	-1527940800	27.7	765930
4384	-1525262400	27.2	765930
4384	-1522670400	27	765930
4384	-1519992000	26.9	765930
4384	-1517400000	24.7	765930
4384	-1514721600	23.7	765930
4384	-1512043200	23.5	765930
4384	-1509624000	25.6	765930
4384	-1506945600	27.4	765930
4384	-1504353600	26.6	765930
4384	-1501675200	27.4	765930
4384	-1499083200	27.4	765930
4384	-1496404800	28	765930
4384	-1493726400	27.8	765930
4384	-1491134400	27.5	765930
4384	-1488456000	26.2	765930
4384	-1485864000	23.8	765930
4384	-1483185600	23.5	765930
4384	-1480507200	23.6	765930
4384	-1478088000	25.1	765930
4384	-1475409600	26.3	765930
4384	-1472817600	27.1	765930
4384	-1470139200	26.9	765930
4384	-1467547200	27.2	765930
4384	-1464868800	27.4	765930
4384	-1462190400	27.9	765930
4384	-1459598400	27	765930
4384	-1456920000	24.6	765930
4384	-1454328000	24.4	765930
4384	-1451649600	23.3	765930
4384	-1448971200	22.1	765930
4384	-1446465600	24	765930
4384	-1443787200	26.5	765930
4384	-1441195200	27.3	765930
4384	-1438516800	27.7	765930
4384	-1435924800	27.5	765930
4384	-1433246400	27.6	765930
4384	-1430568000	27.6	765930
4384	-1427976000	27.3	765930
4384	-1425297600	25	765930
4384	-1422705600	24.5	765930
4384	-1420027200	24.3	765930
4384	-1417348800	23.5	765930
4384	-1414929600	23.8	765930
4384	-1412251200	24.6	765930
4384	-1409659200	25.9	765930
4384	-1406980800	26.8	765930
4384	-1404388800	27.1	765930
4384	-1401710400	27.7	765930
4384	-1399032000	27.4	765930
4384	-1396440000	27.6	765930
4384	-1393761600	25.8	765930
4384	-1391169600	24.2	765930
4384	-1388491200	23.2	765930
4384	-1385812800	23.2	765930
4384	-1383393600	24.9	765930
4384	-1380715200	26.3	765930
4384	-1378123200	26.5	765930
4384	-1375444800	27.1	765930
4384	-1372852800	27.7	765930
4384	-1370174400	27.8	765930
4384	-1367496000	28.1	765930
4384	-1364904000	27.7	765930
4384	-1362225600	24.5	765930
4384	-1359633600	24.7	765930
4384	-1356955200	22.3	765930
4384	-1354276800	24.3	765930
4384	-1351857600	24.2	765930
4384	-1349179200	25.9	765930
4384	-1346587200	27.7	765930
4384	-1343908800	27.5	765930
4384	-1341316800	27	765930
4384	-1338638400	27.8	765930
4384	-1335960000	27.6	765930
4384	-1333368000	27	765930
4384	-1330689600	25.4	765930
4384	-1328097600	24.2	765930
4384	-1325419200	22.4	765930
4384	-1322740800	23.9	765930
4384	-1320235200	24.7	765930
4384	-1317556800	25.4	765930
4384	-1314964800	25.9	765930
4384	-1312286400	28	765930
4384	-1309694400	27.1	765930
4384	-1307016000	27.8	765930
4384	-1304337600	28.1	765930
4384	-1301745600	27.8	765930
4384	-1299067200	25.5	765930
4384	-1296475200	23.2	765930
4384	-1293796800	23.8	765930
4384	-1291118400	24.7	765930
4384	-1288699200	25.7	765930
4384	-1286020800	27	765930
4384	-1283428800	27	765930
4384	-1280750400	26.6	765930
4384	-1278158400	27	765930
4384	-1275480000	27.4	765930
4384	-1272801600	27.6	765930
4384	-1270209600	27.6	765930
4384	-1267531200	26	765930
4384	-1264939200	23.4	765930
4384	-1262260800	23.6	765930
4384	-1259582400	23.2	765930
4384	-1257163200	24.2	765930
4384	-1254484800	25.3	765930
4384	-1251892800	27.4	765930
4384	-1249214400	27.1	765930
4384	-1246622400	27.1	765930
4384	-1243944000	27.9	765930
4384	-1241265600	28	765930
4384	-1238673600	27.5	765930
4384	-1235995200	25.5	765930
4384	-1233403200	23.2	765930
4384	-1230724800	22.1	765930
4384	-1228046400	22.9	765930
4384	-1225627200	22.2	765930
4384	-1222948800	23.8	765930
4384	-1220356800	26.1	765930
4384	-1217678400	26.7	765930
4384	-1215086400	27.6	765930
4384	-1212408000	27.5	765930
4384	-1209729600	27.8	765930
4384	-1207137600	26.7	765930
4384	-1204459200	24.9	765930
4384	-1201867200	25.2	765930
4384	-1199188800	24.9	765930
4384	-1196510400	24.6	765930
4384	-1194004800	24	765930
4384	-1191326400	24.9	765930
4384	-1188734400	25.9	765930
4384	-1186056000	26.5	765930
4384	-1183464000	27.6	765930
4384	-1180785600	27.8	765930
4384	-1178107200	28.8	765930
4384	-1175515200	27.9	765930
