group	x	y	clickSelects
4661	-123508800	22.7	830330
4661	-121089600	23.5	830330
4661	-118411200	23.1	830330
4661	-115819200	24.2	830330
4663	-662644800	24.9	830640
4663	-659966400	24.4	830640
4675	168177600	25.6	832280
4675	170856000	24.5	832280
4675	173448000	24.2	832280
4675	176126400	25.5	832280
4675	178804800	26.8	832280
4675	181396800	26.9	832280
4675	184075200	26.2	832280
4675	186667200	26.1	832280
4675	189345600	26.1	832280
4675	192024000	26	832280
4675	194529600	26.2	832280
4675	197208000	26.2	832280
4675	199800000	25.4	832280
4675	202478400	23.9	832280
4675	205070400	24.1	832280
4675	207748800	26	832280
4675	210427200	26.9	832280
4675	213019200	26.3	832280
4675	215697600	26	832280
4675	218289600	26.3	832280
4675	220968000	26	832280
4675	223646400	25.9	832280
4675	226065600	26.9	832280
4675	228744000	26.4	832280
4675	231336000	25.8	832280
4675	234014400	25.7	832280
4675	236606400	24.9	832280
4675	239284800	27	832280
4675	241963200	27.5	832280
4675	244555200	27	832280
4675	247233600	27.1	832280
4675	249825600	26.1	832280
4675	252504000	26.5	832280
4675	255182400	26.3	832280
4675	257601600	26.2	832280
4675	260280000	26.5	832280
4675	262872000	26.2	832280
4675	265550400	24.4	832280
4675	268142400	25.2	832280
4675	270820800	25.7	832280
4675	273499200	27.5	832280
4675	276091200	27.3	832280
4675	278769600	27.2	832280
4675	281361600	26.1	832280
4675	284040000	26.1	832280
4675	286718400	25.9	832280
4675	289137600	27.3	832280
4675	291816000	26.8	832280
4675	294408000	26.2	832280
4675	297086400	23.5	832280
4675	299678400	25	832280
4675	302356800	26.1	832280
4675	305035200	27.3	832280
4675	307627200	27.8	832280
4675	310305600	27.2	832280
4675	312897600	27.2	832280
4675	315576000	26.1	832280
4675	318254400	25	832280
4675	320760000	26.8	832280
4675	323438400	26.7	832280
4675	326030400	27	832280
4675	328708800	25.8	832280
4675	331300800	25.2	832280
4675	333979200	26.5	832280
4675	336657600	28.6	832280
4675	339249600	28.7	832280
4675	341928000	26.5	832280
4675	344520000	25.8	832280
4675	347198400	26.1	832280
4675	349876800	27	832280
4675	352296000	26.7	832280
4675	354974400	26.6	832280
4675	357566400	25.5	832280
4675	360244800	24.4	832280
4675	362836800	23.8	832280
4675	365515200	25.6	832280
4675	368193600	28.1	832280
4675	370785600	27.8	832280
4675	373464000	26.1	832280
4675	376056000	26.8	832280
4675	378734400	25.4	832280
4675	381412800	26.9	832280
4675	383832000	27.1	832280
4675	386510400	26.7	832280
4675	389102400	26.4	832280
4675	391780800	25.7	832280
4675	394372800	25.1	832280
4675	397051200	26.8	832280
4675	399729600	28.2	832280
4675	402321600	27.8	832280
4675	4.05e+08	27.2	832280
4675	407592000	26.7	832280
4675	410270400	26.7	832280
4675	412948800	26.8	832280
4675	415368000	26.7	832280
4675	418046400	27.7	832280
4675	420638400	27.4	832280
4675	423316800	26.1	832280
4675	425908800	26.2	832280
4675	428587200	26.9	832280
4675	431265600	29.1	832280
4675	433857600	27.3	832280
4675	436536000	26.5	832280
4675	439128000	26.3	832280
4675	441806400	26.7	832280
4675	444484800	26.6	832280
4675	446990400	26.6	832280
4675	449668800	26.7	832280
4675	452260800	26.5	832280
4675	454939200	25.4	832280
4675	457531200	25.2	832280
4675	460209600	27.1	832280
4675	462888000	27.7	832280
4675	465480000	27.7	832280
4675	468158400	27.6	832280
4675	470750400	26.9	832280
4675	473428800	25.3	832280
4675	476107200	26.8	832280
4675	478526400	26.9	832280
4675	481204800	26.5	832280
4675	483796800	26.7	832280
4675	486475200	24.3	832280
4675	489067200	25.1	832280
4675	491745600	26.7	832280
4675	494424000	28	832280
4675	497016000	27	832280
4675	499694400	26.5	832280
4675	502286400	25.7	832280
4675	504964800	26.5	832280
4675	507643200	26.5	832280
4675	510062400	26.6	832280
4675	512740800	27.3	832280
4675	515332800	27	832280
4675	518011200	24.9	832280
4675	520603200	26.1	832280
4675	523281600	27.3	832280
4675	525960000	28.3	832280
4675	528552000	27.5	832280
4675	531230400	27.4	832280
4675	533822400	26.6	832280
4675	536500800	27.6	832280
4675	539179200	27	832280
4675	541598400	26.5	832280
4675	544276800	27.1	832280
4675	546868800	27.5	832280
4675	549547200	26.5	832280
4675	552139200	26.4	832280
4675	554817600	28.1	832280
4675	557496000	28.9	832280
4675	560088000	28.8	832280
4675	562766400	27.7	832280
4675	565358400	26.9	832280
4675	568036800	27.4	832280
4675	570715200	27.3	832280
4675	573220800	26.8	832280
4675	575899200	27.4	832280
4675	578491200	27.2	832280
4675	581169600	25.5	832280
4675	583761600	24.8	832280
4675	586440000	25.3	832280
4675	589118400	28.1	832280
4675	591710400	27.6	832280
4675	594388800	26.9	832280
4675	596980800	26.3	832280
4675	599659200	26.5	832280
