group	x	y	clickSelects
367	-1175515200	-8.3	202920
367	-1172836800	-22.7	202920
367	-1170244800	-31.9	202920
367	-1167566400	-23.2	202920
367	-1164888000	-23.6	202920
367	-1162468800	-27.9	202920
367	-1159790400	-19.7	202920
367	-1157198400	-12.1	202920
367	-1154520000	-2.8	202920
367	-1151928000	1.4	202920
367	-1149249600	-0.9	202920
367	-1146571200	-5.3	202920
367	-1143979200	-11.6	202920
367	-1141300800	-25.9	202920
367	-1138708800	-29.8	202920
367	-1136030400	-26.9	202920
367	-1133352000	-21.8	202920
367	-1130932800	-23.7	202920
367	-1128254400	-22.5	202920
367	-1125662400	-8.7	202920
367	-1122984000	-1	202920
367	-1120392000	0.8	202920
367	-1117713600	0.5	202920
367	-1115035200	-3.3	202920
367	-1112443200	-9.9	202920
367	-1109764800	-17.9	202920
367	-1107172800	-26.8	202920
367	-1104494400	-33.1	202920
367	-1101816000	-26.2	202920
367	-1099396800	-31.9	202920
367	-1096718400	-24.1	202920
367	-1094126400	-8.9	202920
367	-1091448000	-1	202920
367	-1088856000	1.9	202920
367	-1086177600	1	202920
367	-1083499200	-2.9	202920
367	-1080907200	-11.2	202920
367	-1078228800	-22.2	202920
367	-1075636800	-23.7	202920
367	-1072958400	-33	202920
367	-1070280000	-30.8	202920
367	-1067774400	-32.9	202920
367	-1065096000	-19.8	202920
367	-1062504000	-10.6	202920
367	-1059825600	-0.5	202920
367	-1057233600	1.6	202920
367	-1054555200	1.1	202920
367	-1051876800	1.5	202920
367	-1049284800	-8.7	202920
367	-1046606400	-20.2	202920
367	-1044014400	-20	202920
367	-1041336000	-17.2	202920
367	-1038657600	-23.5	202920
367	-1036238400	-31.4	202920
367	-1033560000	-21.3	202920
367	-1030968000	-7.6	202920
367	-1028289600	-2.1	202920
367	-1025697600	1.4	202920
367	-1023019200	-0.3	202920
367	-1020340800	-3.7	202920
367	-1017748800	-14.3	202920
367	-1015070400	-18.9	202920
367	-1012478400	-23.6	202920
367	-1009800000	-19.5	202920
367	-1007121600	-24.9	202920
367	-1004702400	-23.4	202920
367	-1002024000	-16.4	202920
367	-999432000	-9.6	202920
367	-996753600	-0.4	202920
367	-994161600	1.1	202920
367	-991483200	2	202920
367	-988804800	1.2	202920
367	-986212800	-6.9	202920
367	-983534400	-14.7	202920
367	-980942400	-20.7	202920
367	-978264000	-29.1	202920
367	-975585600	-24.4	202920
367	-973166400	-29.5	202920
367	-970488000	-25.3	202920
367	-967896000	-12.1	202920
367	-965217600	0	202920
367	-962625600	1.3	202920
367	-959947200	0.9	202920
367	-957268800	-2	202920
367	-954676800	-10.6	202920
367	-951998400	-19.4	202920
367	-949406400	-21.3	202920
367	-946728000	-26.8	202920
367	-944049600	-28.4	202920
367	-941544000	-27.9	202920
367	-938865600	-21.6	202920
367	-936273600	-10	202920
367	-933595200	-0.5	202920
367	-931003200	1.6	202920
367	-928324800	2.3	202920
367	-925646400	-0.2	202920
367	-923054400	-10.4	202920
367	-920376000	-21.9	202920
367	-917784000	-27.6	202920
367	-915105600	-32.3	202920
367	-912427200	-32.4	202920
367	-910008000	-31.2	202920
367	-907329600	-23.2	202920
367	-904737600	-9	202920
367	-902059200	-1.6	202920
367	-899467200	1.7	202920
367	-896788800	0.6	202920
367	-894110400	-1.9	202920
367	-891518400	-9.5	202920
367	-888840000	-21.5	202920
367	-886248000	-25.8	202920
367	-883569600	-21.8	202920
367	-880891200	-23	202920
367	-878472000	-31.5	202920
367	-875793600	-22	202920
367	-873201600	-7.4	202920
367	-870523200	-0.8	202920
367	-867931200	1	202920
367	-865252800	1	202920
367	-862574400	-0.2	202920
367	-859982400	-8.9	202920
367	-857304000	-19.6	202920
367	-854712000	-18.2	202920
367	-852033600	-27	202920
367	-849355200	-22.5	202920
367	-846936000	-23	202920
367	-844257600	-13.9	202920
367	-841665600	-7.3	202920
367	-838987200	0.7	202920
367	-836395200	1.2	202920
367	-833716800	0.8	202920
367	-831038400	-0.8	202920
367	-828446400	-5.2	202920
367	-825768000	-19.3	202920
367	-823176000	-30.5	202920
367	-820497600	-23.2	202920
367	-817819200	-26.8	202920
367	-815313600	-24.2	202920
367	-812635200	-21.3	202920
367	-810043200	-10.6	202920
367	-807364800	-1.7	202920
367	-804772800	0.4	202920
367	-802094400	-0.5	202920
367	-799416000	-3.1	202920
367	-796824000	-9.7	202920
367	-794145600	-15.3	202920
367	-791553600	-16	202920
367	-788875200	-23.9	202920
367	-786196800	-21.1	202920
367	-783777600	-31	202920
367	-781099200	-19	202920
