group	x	y	clickSelects
269	-6847761600	-2	160590
269	-6845083200	0.6	160590
269	-6842664000	7.4	160590
269	-6839985600	12.1	160590
269	-6837393600	16.2	160590
269	-6834715200	23.8	160590
269	-6832123200	24.8	160590
269	-6829444800	22.6	160590
269	-6826766400	19.5	160590
269	-6824174400	12.7	160590
269	-6821496000	4.5	160590
269	-6818904000	1.5	160590
269	-6816225600	-2.5	160590
269	-6813547200	-2	160590
269	-6811128000	3.2	160590
269	-6808449600	11.2	160590
269	-6805857600	16.6	160590
269	-6803179200	21.6	160590
269	-6800587200	22.6	160590
269	-6797908800	23.7	160590
269	-6795230400	18.6	160590
269	-6792638400	14.1	160590
269	-6789960000	8.2	160590
269	-6787368000	2.1	160590
269	-6784689600	-5.7	160590
269	-6782011200	-1.5	160590
269	-6779592000	7.3	160590
269	-6776913600	17	160590
269	-6774321600	16.6	160590
269	-6771643200	23.8	160590
269	-6769051200	21.6	160590
269	-6766372800	21.4	160590
269	-6763694400	18.1	160590
269	-6761102400	11.3	160590
269	-6758424000	5.1	160590
269	-6755832000	2.6	160590
269	-6753153600	0.2	160590
269	-6750475200	4.2	160590
269	-6747969600	7.9	160590
269	-6745291200	10.5	160590
269	-6742699200	18.5	160590
269	-6740020800	21.6	160590
269	-6737428800	22	160590
269	-6734750400	22.9	160590
269	-6732072000	20.1	160590
269	-6729480000	10	160590
269	-6726801600	2.7	160590
269	-6724209600	2.2	160590
269	-6721531200	-3.6	160590
269	-6718852800	2	160590
269	-6716433600	6.6	160590
269	-6713755200	10.7	160590
269	-6711163200	17.7	160590
269	-6708484800	22.5	160590
269	-6705892800	25.1	160590
269	-6703214400	25	160590
269	-6700536000	18.4	160590
269	-6697944000	10.8	160590
269	-6695265600	3.4	160590
269	-6692673600	0	160590
269	-6689995200	-2.1	160590
269	-6687316800	2.7	160590
269	-6684897600	8	160590
269	-6682219200	10.7	160590
269	-6679627200	16.5	160590
269	-6676948800	21.7	160590
269	-6674356800	21.4	160590
269	-6671678400	21.9	160590
269	-6.669e+09	12	160590
269	-6666408000	10.8	160590
269	-6663729600	9.6	160590
269	-6661137600	3.5	160590
269	-6658459200	3.2	160590
269	-6655780800	4.5	160590
269	-6653361600	7.5	160590
269	-6650683200	10.6	160590
269	-6648091200	16.5	160590
269	-6645412800	20.7	160590
269	-6642820800	24.6	160590
269	-6640142400	23.1	160590
269	-6637464000	20.7	160590
269	-6634872000	14.6	160590
269	-6632193600	4.1	160590
269	-6629601600	4.7	160590
269	-6626923200	0.7	160590
269	-6624244800	3.3	160590
269	-6621739200	7	160590
269	-6619060800	15.6	160590
269	-6616468800	17	160590
269	-6613790400	21.4	160590
269	-6611198400	24.4	160590
269	-6608520000	22.3	160590
269	-6605841600	18.2	160590
269	-6603249600	12.2	160590
269	-6600571200	6.8	160590
269	-6597979200	4	160590
269	-6595300800	0.3	160590
269	-6592622400	6	160590
269	-6590203200	10	160590
269	-6587524800	12.1	160590
269	-6584932800	17.9	160590
269	-6582254400	20.9	160590
269	-6579662400	24.4	160590
269	-6576984000	23.4	160590
269	-6574305600	20.2	160590
269	-6571713600	11.4	160590
269	-6569035200	5.7	160590
269	-6566443200	0.5	160590
269	-6563764800	2.3	160590
269	-6561086400	4.2	160590
269	-6558667200	5.6	160590
269	-6555988800	15.1	160590
269	-6553396800	18.1	160590
269	-6550718400	20.1	160590
269	-6548126400	25.3	160590
269	-6545448000	22.4	160590
269	-6542769600	17.7	160590
269	-6540177600	10.5	160590
269	-6537499200	5.4	160590
269	-6534907200	-0.8	160590
269	-6532228800	-0.8	160590
269	-6529550400	6.7	160590
269	-6527131200	8.1	160590
269	-6524452800	13.1	160590
269	-6521860800	15.4	160590
269	-6519182400	20.6	160590
269	-6516590400	23.5	160590
269	-6513912000	24	160590
269	-6511233600	17.7	160590
269	-6508641600	11	160590
269	-6505963200	5.8	160590
269	-6503371200	3.8	160590
269	-6500692800	3.3	160590
269	-6498014400	6.5	160590
269	-6495508800	7	160590
269	-6492830400	12.1	160590
269	-6490238400	19.4	160590
269	-6487560000	22.1	160590
269	-6484968000	23	160590
269	-6482289600	20.6	160590
269	-6479611200	18.1	160590
269	-6477019200	11.9	160590
269	-6474340800	6.8	160590
269	-6471748800	3.7	160590
269	-6469070400	5.2	160590
269	-6466392000	2.9	160590
269	-6463972800	9.6	160590
269	-6461294400	13.1	160590
269	-6458702400	16.3	160590
269	-6456024000	21.1	160590
269	-6453432000	22.1	160590
269	-6450753600	22	160590
269	-6448075200	18.7	160590
269	-6445483200	14.4	160590
269	-6442804800	6.7	160590
269	-6440212800	0.4	160590
269	-6437534400	-3.1	160590
269	-6434856000	2.6	160590
269	-6432436800	9.2	160590
269	-6429758400	14.1	160590
269	-6427166400	17.6	160590
269	-6424488000	22.1	160590
269	-6421896000	22.4	160590
269	-6419217600	23.6	160590
269	-6416539200	19.2	160590
269	-6413947200	14	160590
269	-6411268800	8.9	160590
269	-6408676800	1.8	160590
269	-6405998400	-4.8	160590
269	-6403320000	6.6	160590
269	-6400900800	10.2	160590
269	-6398222400	11.6	160590
269	-6395630400	16.6	160590
269	-6392952000	19.3	160590
269	-6390360000	23.7	160590
269	-6387681600	22.6	160590
269	-6385003200	18.6	160590
269	-6382411200	14.1	160590
269	-6379732800	8.1	160590
269	-6377140800	0.4	160590
269	-6374462400	-0.6	160590
269	-6371784000	2.5	160590
269	-6369278400	7.6	160590
269	-6366600000	14.5	160590
269	-6364008000	17.7	160590
269	-6361329600	19.7	160590
269	-6358737600	24.4	160590
269	-6356059200	23	160590
269	-6353380800	17.8	160590
269	-6350788800	13.6	160590
269	-6348110400	7.7	160590
269	-6345518400	0.8	160590
269	-6342840000	3.6	160590
269	-6340161600	3.7	160590
269	-6337742400	8.3	160590
269	-6335064000	13.1	160590
269	-6332472000	17.1	160590
269	-6329793600	20.1	160590
269	-6327201600	21.7	160590
269	-6324523200	21.7	160590
269	-6321844800	18.5	160590
269	-6319252800	9.5	160590
269	-6316574400	7.6	160590
269	-6313982400	-0.3	160590
269	-6311304000	0.1	160590
269	-6308625600	5.6	160590
269	-6306206400	8.5	160590
269	-6303528000	11.3	160590
269	-6300936000	15.8	160590
269	-6298257600	19.8	160590
269	-6295665600	21.1	160590
269	-6292987200	22	160590
269	-6290308800	19.8	160590
269	-6287716800	13.2	160590
269	-6285038400	7.4	160590
269	-6282446400	1.8	160590
269	-6279768000	2.5	160590
269	-6277089600	3.8	160590
269	-6274670400	7.5	160590
269	-6271992000	10.3	160590
269	-6269400000	18.1	160590
269	-6266721600	18.6	160590
269	-6264129600	23.8	160590
269	-6261451200	22.8	160590
269	-6258772800	17.8	160590
269	-6256180800	14.9	160590
269	-6253502400	4.9	160590
269	-6250910400	3.5	160590
269	-6248232000	3.1	160590
269	-6245553600	7.9	160590
269	-6243048000	10.6	160590
269	-6240369600	13	160590
269	-6237777600	15.4	160590
269	-6235099200	22.1	160590
269	-6232507200	23	160590
269	-6229828800	23.4	160590
269	-6227150400	18.5	160590
269	-6224558400	14.2	160590
269	-6221880000	8.5	160590
269	-6219288000	4.2	160590
269	-6216609600	3.7	160590
269	-6213931200	2.6	160590
269	-6211512000	7.2	160590
269	-6208833600	12.2	160590
269	-6206241600	16.7	160590
269	-6203563200	18.7	160590
269	-6200971200	21.7	160590
269	-6198292800	21.7	160590
269	-6195614400	19.8	160590
269	-6193022400	13.8	160590
269	-6190344000	6.9	160590
269	-6187752000	5	160590
269	-6185073600	1.8	160590
269	-6182395200	5.5	160590
269	-6179976000	10.5	160590
269	-6177297600	13.2	160590
269	-6174705600	15.8	160590
269	-6172027200	21.1	160590
269	-6169435200	22.2	160590
269	-6166756800	24.5	160590
269	-6164078400	17.8	160590
269	-6161486400	11.5	160590
269	-6158808000	5.8	160590
269	-6156216000	-0.5	160590
269	-6153537600	1.8	160590
269	-6150859200	7.2	160590
269	-6148440000	9.4	160590
269	-6145761600	12.9	160590
269	-6143169600	16.5	160590
269	-6140491200	20.6	160590
269	-6137899200	23.4	160590
269	-6135220800	22.6	160590
269	-6132542400	18.8	160590
269	-6129950400	13.8	160590
269	-6127272000	7.2	160590
269	-6124680000	1.6	160590
269	-6122001600	0.5	160590
269	-6119323200	4.9	160590
269	-6116817600	10.1	160590
269	-6114139200	13.1	160590
269	-6111547200	14.6	160590
269	-6108868800	20.3	160590
269	-6106276800	23	160590
269	-6103598400	23	160590
269	-6100920000	16.5	160590
269	-6098328000	12.9	160590
269	-6095649600	6.9	160590
269	-6093057600	1.8	160590
269	-6090379200	-0.8	160590
269	-6087700800	4	160590
269	-6085281600	10.9	160590
269	-6082603200	12.3	160590
269	-6080011200	14.9	160590
269	-6077332800	19.6	160590
269	-6074740800	21.8	160590
269	-6072062400	23.6	160590
269	-6069384000	19.7	160590
269	-6066792000	14.3	160590
269	-6064113600	8.4	160590
269	-6061521600	-0.4	160590
269	-6058843200	2.3	160590
269	-6056164800	3.7	160590
269	-6053745600	9.1	160590
269	-6051067200	14.1	160590
269	-6048475200	17.9	160590
269	-6045796800	20.2	160590
269	-6043204800	24.5	160590
269	-6040526400	23.3	160590
269	-6037848000	16.3	160590
269	-6035256000	11.9	160590
269	-6032577600	6.7	160590
269	-6029985600	3.1	160590
269	-6027307200	0.1	160590
269	-6024628800	7	160590
269	-6022209600	9.5	160590
269	-6019531200	15.2	160590
269	-6016939200	18.5	160590
269	-6014260800	18.6	160590
269	-6011668800	23.4	160590
269	-6008990400	22.1	160590
269	-6006312000	20.4	160590
269	-6003720000	15.9	160590
269	-6001041600	8.5	160590
269	-5998449600	6.4	160590
269	-5995771200	1.2	160590
269	-5993092800	2.2	160590
269	-5990587200	11.8	160590
269	-5987908800	10.9	160590
269	-5985316800	20	160590
269	-5982638400	22.2	160590
269	-5980046400	24.3	160590
269	-5977368000	22.5	160590
269	-5974689600	18.3	160590
269	-5972097600	15	160590
269	-5969419200	5.6	160590
269	-5966827200	1.7	160590
269	-5964148800	1.2	160590
269	-5961470400	5.5	160590
269	-5959051200	10	160590
269	-5956372800	14.9	160590
269	-5953780800	17.8	160590
269	-5951102400	20.2	160590
269	-5948510400	23.6	160590
269	-5945832000	23.1	160590
269	-5943153600	18.8	160590
269	-5940561600	11.5	160590
269	-5937883200	7.7	160590
269	-5935291200	3.8	160590
269	-5932612800	2.2	160590
269	-5929934400	1.5	160590
269	-5927515200	8.5	160590
269	-5924836800	10.9	160590
269	-5922244800	15.3	160590
269	-5919566400	21.9	160590
269	-5916974400	25.4	160590
269	-5914296000	23.8	160590
269	-5911617600	17.6	160590
269	-5909025600	11.6	160590
269	-5906347200	3.8	160590
269	-5903755200	2.5	160590
269	-5901076800	2.8	160590
269	-5898398400	6.5	160590
269	-5895979200	9.7	160590
269	-5893300800	14.1	160590
269	-5890708800	16.6	160590
269	-5888030400	19.4	160590
269	-5885438400	24.3	160590
269	-5882760000	22.6	160590
269	-5880081600	18.7	160590
269	-5877489600	13.4	160590
269	-5874811200	7.2	160590
269	-5872219200	2.8	160590
269	-5869540800	0.4	160590
269	-5866862400	2.4	160590
269	-5864356800	7.8	160590
269	-5861678400	10.5	160590
269	-5859086400	19.9	160590
269	-5856408000	21.8	160590
269	-5853816000	25	160590
269	-5851137600	20.6	160590
269	-5848459200	19.9	160590
269	-5845867200	11	160590
269	-5843188800	6.2	160590
269	-5840596800	-0.7	160590
269	-5837918400	2.3	160590
269	-5835240000	2.8	160590
269	-5832820800	3.9	160590
269	-5830142400	10.5	160590
269	-5827550400	16.8	160590
269	-5824872000	21.7	160590
269	-5822280000	23.3	160590
269	-5819601600	22	160590
