group	x	y	clickSelects
1207	-223560000	9.2	408290
1207	-220881600	10.7	408290
1207	-218203200	15.5	408290
1207	-215784000	17.6	408290
1207	-213105600	23.6	408290
1207	-210513600	27.7	408290
1207	-207835200	33.5	408290
1207	-205243200	35.2	408290
1207	-202564800	32.9	408290
1207	-199886400	28.7	408290
1207	-197294400	23.5	408290
1207	-194616000	15.5	408290
1207	-192024000	9.1	408290
1207	-189345600	6	408290
1207	-186667200	11.2	408290
1207	-184161600	19	408290
1207	-181483200	23.6	408290
1207	-178891200	29.3	408290
1207	-176212800	31.8	408290
1207	-173620800	34.3	408290
1207	-170942400	33.5	408290
1207	-168264000	28.1	408290
1207	-165672000	17.8	408290
1207	-162993600	13.5	408290
1207	-160401600	4.9	408290
1207	-157723200	11	408290
1207	-155044800	11.3	408290
1207	-152625600	15.8	408290
1207	-149947200	21.3	408290
1207	-147355200	27.9	408290
1207	-144676800	31.2	408290
1207	-142084800	34	408290
1207	-139406400	31.6	408290
1207	-136728000	27.1	408290
1207	-134136000	23.8	408290
1207	-131457600	16	408290
1207	-128865600	9.4	408290
1207	-126187200	11.7	408290
1207	-123508800	14.7	408290
1207	-121089600	17.3	408290
1207	-118411200	22.7	408290
1207	-115819200	27.9	408290
1207	-113140800	33.7	408290
1207	-110548800	33.8	408290
1207	-107870400	32.3	408290
1207	-105192000	28.1	408290
1207	-102600000	21.5	408290
1207	-99921600	12.6	408290
1207	-97329600	8.9	408290
1207	-94651200	7	408290
1207	-91972800	10.3	408290
1207	-89553600	17.1	408290
1207	-86875200	21.9	408290
1207	-84283200	27.3	408290
1207	-81604800	30.9	408290
1207	-79012800	34.2	408290
1207	-76334400	32.3	408290
1207	-73656000	28.5	408290
1207	-71064000	22	408290
1207	-68385600	17.3	408290
1207	-65793600	9.3	408290
1207	-63115200	9.5	408290
1207	-60436800	10.3	408290
1207	-57931200	19	408290
1207	-55252800	21.7	408290
1207	-52660800	26.9	408290
1207	-49982400	32.9	408290
1207	-47390400	33.6	408290
1207	-44712000	32.1	408290
1207	-42033600	26.8	408290
1207	-39441600	21.7	408290
1207	-36763200	16.4	408290
1207	-34171200	11.5	408290
1207	-31492800	6.4	408290
1207	-28814400	7.9	408290
1207	-26395200	20.4	408290
1207	-23716800	23.2	408290
1207	-21124800	27.3	408290
1207	-18446400	31.6	408290
1207	-15854400	33.4	408290
1207	-13176000	30.9	408290
1207	-10497600	26.1	408290
1207	-7905600	23.2	408290
1207	-5227200	13	408290
1207	-2635200	11.9	408290
1207	43200	9.8	408290
1207	2721600	13.7	408290
1207	5140800	15.5	408290
1207	7819200	24.2	408290
1207	10411200	29.8	408290
1207	13089600	32.3	408290
1207	15681600	34.6	408290
1207	18360000	36.2	408290
1207	21038400	27.8	408290
1207	23630400	22.3	408290
1207	26308800	14.9	408290
1207	28900800	9.7	408290
1207	31579200	7.4	408290
1207	34257600	12.2	408290
1207	36676800	18.6	408290
1207	39355200	24.9	408290
1207	41947200	31.7	408290
1207	44625600	35.3	408290
1207	47217600	35.2	408290
1207	49896000	34	408290
1207	52574400	27.7	408290
1207	55166400	21.1	408290
1207	57844800	16.4	408290
1207	60436800	11.5	408290
1207	63115200	6	408290
1207	65793600	4.3	408290
1207	68299200	15.4	408290
1207	70977600	22.4	408290
1207	73569600	27	408290
1207	76248000	31.8	408290
1207	78840000	32.1	408290
1207	81518400	28.6	408290
1207	84196800	26.8	408290
1207	86788800	21.4	408290
1207	89467200	15.8	408290
1207	92059200	7	408290
1207	94737600	5.3	408290
1207	97416000	13.9	408290
1207	99835200	17.5	408290
1207	102513600	24.8	408290
1207	105105600	28.7	408290
1207	107784000	34.4	408290
1207	110376000	35	408290
1207	113054400	33.9	408290
1207	115732800	27.9	408290
1207	118324800	22.5	408290
1207	121003200	14	408290
1207	123595200	9.1	408290
1207	126273600	7.4	408290
1207	128952000	7.7	408290
1207	131371200	17.2	408290
1207	134049600	24.2	408290
1207	136641600	28.6	408290
1207	139320000	32.7	408290
1207	141912000	35.2	408290
1207	144590400	31.3	408290
1207	147268800	28.5	408290
1207	149860800	19.1	408290
1207	152539200	15	408290
1207	155131200	9.1	408290
1207	157809600	7.7	408290
1207	160488000	11.4	408290
1207	162907200	16.8	408290
1207	165585600	21.5	408290
1207	168177600	29.3	408290
1207	170856000	32.5	408290
1207	173448000	35.3	408290
1207	176126400	33.1	408290
1207	178804800	28.3	408290
1207	181396800	20.3	408290
1207	184075200	13.2	408290
1207	186667200	9.1	408290
1207	189345600	10.5	408290
1207	192024000	9.6	408290
1207	194529600	14.1	408290
1207	197208000	22.3	408290
1207	199800000	29.2	408290
1207	202478400	32.2	408290
1207	205070400	35	408290
1207	207748800	32.6	408290
1207	210427200	29.3	408290
1207	213019200	22.8	408290
1207	215697600	12.1	408290
1207	218289600	9.3	408290
1207	220968000	5.9	408290
1207	223646400	13.1	408290
1207	226065600	21.3	408290
1207	228744000	23.6	408290
1207	231336000	29.3	408290
1207	234014400	34.5	408290
1207	236606400	35.1	408290
1207	239284800	32.7	408290
1207	241963200	27.7	408290
1207	244555200	23.3	408290
1207	247233600	17.5	408290
1207	249825600	11.2	408290
1207	252504000	8.3	408290
1207	255182400	11.6	408290
1207	257601600	15.8	408290
1207	260280000	25.7	408290
1207	262872000	29.2	408290
1207	265550400	32.3	408290
1207	268142400	34.2	408290
1207	270820800	32.3	408290
1207	273499200	29	408290
1207	276091200	22.6	408290
1207	278769600	13.6	408290
1207	281361600	12	408290
1207	284040000	9.5	408290
1207	286718400	12.4	408290
1207	289137600	15.9	408290
1207	291816000	23.8	408290
1207	294408000	25.8	408290
1207	297086400	31.7	408290
1207	299678400	33.5	408290
1207	302356800	29.5	408290
1207	305035200	29.2	408290
1207	307627200	24.8	408290
1207	310305600	13.6	408290
1207	312897600	11.1	408290
1207	315576000	7.7	408290
1207	318254400	11.3	408290
1207	320760000	17.5	408290
1207	323438400	26.9	408290
1207	326030400	30.1	408290
1207	328708800	32	408290
1207	331300800	34.3	408290
1207	333979200	32.1	408290
1207	336657600	27.6	408290
1207	339249600	23.4	408290
1207	341928000	16	408290
1207	344520000	11.5	408290
1207	347198400	9.9	408290
1207	349876800	12	408290
1207	352296000	17.8	408290
1207	354974400	24.7	408290
1207	357566400	29.3	408290
1207	360244800	31.5	408290
1207	362836800	33.8	408290
1207	365515200	32.1	408290
1207	368193600	27.2	408290
1207	370785600	20.8	408290
1207	373464000	14.8	408290
1207	376056000	11.7	408290
1207	378734400	9.1	408290
1207	381412800	10.2	408290
1207	383832000	15.4	408290
1207	386510400	24.2	408290
1207	389102400	28.5	408290
1207	391780800	32.6	408290
1207	394372800	34.1	408290
1207	397051200	31.6	408290
1207	399729600	27	408290
1207	402321600	22.7	408290
1207	4.05e+08	13.5	408290
1207	407592000	8.2	408290
1207	410270400	9	408290
1207	412948800	12.5	408290
1207	415368000	15	408290
1207	418046400	22.1	408290
1207	420638400	30.1	408290
1207	423316800	33.9	408290
1207	425908800	35.8	408290
1207	428587200	34	408290
1207	431265600	29.1	408290
1207	433857600	20.7	408290
1207	436536000	15.2	408290
1207	439128000	8.4	408290
1207	441806400	8.1	408290
1207	444484800	6.3	408290
1207	446990400	18.2	408290
1207	449668800	24	408290
1207	452260800	28.6	408290
1207	454939200	31.9	408290
1207	457531200	34.6	408290
1207	460209600	34.2	408290
1207	462888000	27.4	408290
1207	465480000	19.3	408290
1207	468158400	16.4	408290
1207	470750400	6.3	408290
1207	473428800	8.2	408290
1207	476107200	13.1	408290
1207	478526400	14.7	408290
1207	481204800	22.9	408290
1207	483796800	28.2	408290
1207	486475200	33.9	408290
1207	489067200	35.9	408290
1207	491745600	31.8	408290
1207	494424000	28.3	408290
1207	497016000	20.4	408290
1207	499694400	15.7	408290
1207	502286400	9.8	408290
1207	504964800	7.9	408290
1207	507643200	10.3	408290
1207	510062400	12.7	408290
1207	512740800	22.1	408290
1207	515332800	28.9	408290
1207	518011200	32	408290
1207	520603200	34	408290
1207	523281600	31.9	408290
1207	525960000	28.3	408290
