group	x	y	clickSelects
2259	-599572800	25.8	641150
2259	-596894400	25.8	641150
2259	-594475200	24.8	641150
2259	-591796800	24.9	641150
2259	-589204800	24.6	641150
2259	-586526400	26.2	641150
2259	-583934400	25.3	641150
2259	-581256000	26	641150
2259	-578577600	25.7	641150
2259	-575985600	26.1	641150
2259	-573307200	25.7	641150
2259	-570715200	25.8	641150
2259	-568036800	26.7	641150
2259	-565358400	26.6	641150
2259	-562852800	26.9	641150
2259	-560174400	27.2	641150
2259	-557582400	26.6	641150
2259	-554904000	26.5	641150
2259	-552312000	26.1	641150
2259	-549633600	25.7	641150
2259	-546955200	25.7	641150
2259	-544363200	26.5	641150
2259	-541684800	25.5	641150
2259	-539092800	25.9	641150
2259	-536414400	25.9	641150
2259	-533736000	26.8	641150
2259	-531316800	27.1	641150
2259	-528638400	26.7	641150
2259	-526046400	26.5	641150
2259	-523368000	25.6	641150
2259	-520776000	25.4	641150
2259	-518097600	25.6	641150
2259	-515419200	26.4	641150
2259	-512827200	25.9	641150
2259	-510148800	25.3	641150
2259	-507556800	26.4	641150
2259	-504878400	26.2	641150
2259	-502200000	25.9	641150
2259	-499780800	26.6	641150
2259	-497102400	26.4	641150
2259	-494510400	26.3	641150
2259	-491832000	25.5	641150
2259	-489240000	24.5	641150
2259	-486561600	25.1	641150
2259	-483883200	25.9	641150
2259	-481291200	25.5	641150
2259	-478612800	25.5	641150
2259	-476020800	25.9	641150
2259	-473342400	25.9	641150
2259	-470664000	26.6	641150
2259	-468244800	26.1	641150
2259	-465566400	26.3	641150
2259	-462974400	26.6	641150
2259	-460296000	25.8	641150
2259	-457704000	25.6	641150
2259	-455025600	25.4	641150
2259	-452347200	25.7	641150
2259	-449755200	25.9	641150
2259	-447076800	25.7	641150
2259	-444484800	25.1	641150
2259	-441806400	25.5	641150
2259	-439128000	26.4	641150
2259	-436622400	26.5	641150
2259	-433944000	26.4	641150
2259	-431352000	26.2	641150
2259	-428673600	25.8	641150
2259	-426081600	25.2	641150
2259	-423403200	25.6	641150
2259	-420724800	26.2	641150
2259	-418132800	25.7	641150
2259	-415454400	26.1	641150
2259	-412862400	25.6	641150
2259	-410184000	25.8	641150
2259	-407505600	26.6	641150
2259	-405086400	26	641150
2259	-402408000	26.6	641150
2259	-399816000	26.7	641150
2259	-397137600	26.4	641150
2259	-394545600	25.8	641150
2259	-391867200	26.2	641150
2259	-389188800	26.1	641150
2259	-386596800	26.1	641150
2259	-383918400	26.5	641150
2259	-381326400	26	641150
