x	y	label	showSelected1
-2.5	5	8 stations	1184
-2.5	5	3 stations	1185
-2.5	5	9 stations	1186
-2.5	5	1 station	1191
-2.5	5	2 stations	1195
-2.5	5	24 stations	1196
-2.5	5	14 stations	1197
-2.5	5	7 stations	1198
-2.5	5	1 station	1199
-2.5	5	1 station	1200
-2.5	5	3 stations	1201
-2.5	5	3 stations	1202
-2.5	5	3 stations	1203
-2.5	5	13 stations	1204
-2.5	5	1 station	1205
-2.5	5	1 station	1216
-2.5	5	1 station	1220
-2.5	5	2 stations	1223
-2.5	5	1 station	1225
-2.5	5	2 stations	1227
-2.5	5	1 station	1230
-2.5	5	1 station	1231
-2.5	5	1 station	1232
-2.5	5	2 stations	1233
-2.5	5	3 stations	1234
-2.5	5	1 station	1236
-2.5	5	1 station	1237
-2.5	5	1 station	1238
-2.5	5	3 stations	1239
-2.5	5	3 stations	1240
-2.5	5	1 station	1246
-2.5	5	1 station	1249
-2.5	5	4 stations	1253
-2.5	5	2 stations	1254
-2.5	5	5 stations	1255
-2.5	5	4 stations	1256
-2.5	5	7 stations	1257
-2.5	5	14 stations	1258
-2.5	5	1 station	1259
-2.5	5	1 station	1260
-2.5	5	1 station	1267
-2.5	5	3 stations	1268
-2.5	5	8 stations	1269
-2.5	5	7 stations	1270
-2.5	5	6 stations	1271
-2.5	5	5 stations	1272
-2.5	5	4 stations	1273
-2.5	5	3 stations	1274
-2.5	5	1 station	1275
-2.5	5	11 stations	1276
-2.5	5	7 stations	1277
-2.5	5	1 station	1278
-2.5	5	1 station	1291
-2.5	5	1 station	1294
-2.5	5	1 station	1295
-2.5	5	1 station	1298
-2.5	5	1 station	1307
-2.5	5	1 station	1308
-2.5	5	1 station	1309
-2.5	5	4 stations	1310
-2.5	5	2 stations	1311
-2.5	5	11 stations	1312
-2.5	5	2 stations	1313
-2.5	5	1 station	1323
-2.5	5	2 stations	1324
-2.5	5	2 stations	1325
-2.5	5	8 stations	1326
-2.5	5	5 stations	1327
-2.5	5	7 stations	1328
-2.5	5	9 stations	1329
-2.5	5	17 stations	1330
-2.5	5	8 stations	1331
-2.5	5	1 station	1333
-2.5	5	2 stations	1334
-2.5	5	4 stations	1343
-2.5	5	3 stations	1344
-2.5	5	3 stations	1345
-2.5	5	1 station	1346
-2.5	5	4 stations	1347
-2.5	5	11 stations	1348
-2.5	5	1 station	1351
-2.5	5	2 stations	1364
-2.5	5	1 station	1370
-2.5	5	1 station	1371
-2.5	5	4 stations	1372
-2.5	5	3 stations	1373
-2.5	5	2 stations	1374
-2.5	5	1 station	1375
-2.5	5	3 stations	1377
-2.5	5	2 stations	1378
-2.5	5	2 stations	1379
-2.5	5	1 station	1380
-2.5	5	2 stations	1381
-2.5	5	1 station	1382
-2.5	5	6 stations	1384
-2.5	5	5 stations	1385
-2.5	5	3 stations	1388
-2.5	5	5 stations	1389
-2.5	5	1 station	1390
-2.5	5	2 stations	1395
-2.5	5	4 stations	1396
-2.5	5	4 stations	1397
-2.5	5	1 station	1398
-2.5	5	2 stations	1399
-2.5	5	5 stations	1400
-2.5	5	7 stations	1401
-2.5	5	10 stations	1402
-2.5	5	5 stations	1403
-2.5	5	14 stations	1404
-2.5	5	4 stations	1405
-2.5	5	7 stations	1406
-2.5	5	9 stations	1407
-2.5	5	2 stations	1415
-2.5	5	7 stations	1416
-2.5	5	3 stations	1417
-2.5	5	2 stations	1418
-2.5	5	6 stations	1419
-2.5	5	7 stations	1420
-2.5	5	7 stations	1421
-2.5	5	1 station	1444
-2.5	5	3 stations	1448
-2.5	5	1 station	1451
-2.5	5	9 stations	1452
-2.5	5	5 stations	1455
-2.5	5	12 stations	1456
-2.5	5	3 stations	1457
-2.5	5	1 station	1458
-2.5	5	1 station	1460
-2.5	5	8 stations	1461
-2.5	5	3 stations	1462
-2.5	5	3 stations	1467
-2.5	5	2 stations	1468
-2.5	5	5 stations	1469
-2.5	5	7 stations	1470
-2.5	5	2 stations	1471
-2.5	5	2 stations	1472
-2.5	5	6 stations	1473
-2.5	5	6 stations	1474
-2.5	5	6 stations	1475
-2.5	5	8 stations	1476
-2.5	5	9 stations	1477
-2.5	5	14 stations	1478
-2.5	5	10 stations	1479
-2.5	5	9 stations	1480
-2.5	5	1 station	1481
-2.5	5	1 station	1488
-2.5	5	7 stations	1489
-2.5	5	9 stations	1490
-2.5	5	2 stations	1491
-2.5	5	1 station	1492
-2.5	5	4 stations	1493
-2.5	5	10 stations	1494
-2.5	5	4 stations	1495
-2.5	5	1 station	1515
-2.5	5	1 station	1519
-2.5	5	2 stations	1524
-2.5	5	5 stations	1526
-2.5	5	7 stations	1527
-2.5	5	13 stations	1528
-2.5	5	5 stations	1529
-2.5	5	1 station	1531
-2.5	5	5 stations	1532
-2.5	5	8 stations	1533
-2.5	5	7 stations	1534
-2.5	5	1 station	1538
-2.5	5	2 stations	1540
-2.5	5	6 stations	1541
-2.5	5	6 stations	1542
-2.5	5	1 station	1544
-2.5	5	1 station	1545
-2.5	5	1 station	1546
-2.5	5	1 station	1547
-2.5	5	3 stations	1548
-2.5	5	4 stations	1549
-2.5	5	3 stations	1550
-2.5	5	6 stations	1551
-2.5	5	4 stations	1552
-2.5	5	1 station	1553
-2.5	5	1 station	1554
-2.5	5	8 stations	1561
-2.5	5	17 stations	1562
-2.5	5	20 stations	1563
-2.5	5	7 stations	1564
-2.5	5	3 stations	1565
-2.5	5	10 stations	1566
-2.5	5	7 stations	1567
-2.5	5	11 stations	1568
-2.5	5	2 stations	1569
-2.5	5	2 stations	1580
-2.5	5	1 station	1582
-2.5	5	1 station	1590
-2.5	5	1 station	1592
-2.5	5	1 station	1595
-2.5	5	19 stations	1596
-2.5	5	7 stations	1597
-2.5	5	19 stations	1598
-2.5	5	13 stations	1599
-2.5	5	10 stations	1600
-2.5	5	5 stations	1601
-2.5	5	11 stations	1602
-2.5	5	12 stations	1603
-2.5	5	3 stations	1604
-2.5	5	8 stations	1605
-2.5	5	7 stations	1606
-2.5	5	4 stations	1607
-2.5	5	2 stations	1609
-2.5	5	1 station	1611
-2.5	5	1 station	1612
-2.5	5	3 stations	1613
-2.5	5	2 stations	1614
-2.5	5	1 station	1616
-2.5	5	1 station	1617
-2.5	5	2 stations	1619
-2.5	5	2 stations	1620
-2.5	5	2 stations	1623
-2.5	5	2 stations	1624
-2.5	5	2 stations	1635
-2.5	5	10 stations	1636
-2.5	5	8 stations	1637
-2.5	5	2 stations	1638
-2.5	5	2 stations	1640
-2.5	5	4 stations	1641
-2.5	5	4 stations	1642
-2.5	5	1 station	1643
-2.5	5	12 stations	1652
-2.5	5	1 station	1654
-2.5	5	1 station	1664
-2.5	5	1 station	1665
-2.5	5	1 station	1666
-2.5	5	2 stations	1667
-2.5	5	13 stations	1668
-2.5	5	19 stations	1669
-2.5	5	16 stations	1670
-2.5	5	16 stations	1671
-2.5	5	15 stations	1672
-2.5	5	5 stations	1673
-2.5	5	11 stations	1674
-2.5	5	11 stations	1675
-2.5	5	4 stations	1676
-2.5	5	9 stations	1677
-2.5	5	3 stations	1678
-2.5	5	4 stations	1679
-2.5	5	7 stations	1680
-2.5	5	4 stations	1681
-2.5	5	7 stations	1682
-2.5	5	1 station	1683
-2.5	5	2 stations	1684
-2.5	5	3 stations	1685
-2.5	5	8 stations	1686
-2.5	5	2 stations	1687
-2.5	5	1 station	1688
-2.5	5	1 station	1689
-2.5	5	1 station	1690
-2.5	5	1 station	1691
-2.5	5	3 stations	1692
-2.5	5	1 station	1693
-2.5	5	1 station	1694
-2.5	5	4 stations	1695
-2.5	5	5 stations	1696
-2.5	5	1 station	1708
-2.5	5	20 stations	1709
-2.5	5	7 stations	1711
-2.5	5	19 stations	1712
-2.5	5	12 stations	1713
-2.5	5	1 station	1714
-2.5	5	1 station	1715
-2.5	5	1 station	1720
-2.5	5	1 station	1728
-2.5	5	1 station	1732
-2.5	5	1 station	1736
-2.5	5	7 stations	1737
-2.5	5	12 stations	1738
-2.5	5	6 stations	1739
-2.5	5	7 stations	1740
-2.5	5	16 stations	1741
-2.5	5	15 stations	1742
-2.5	5	14 stations	1743
-2.5	5	12 stations	1744
-2.5	5	10 stations	1745
-2.5	5	5 stations	1746
-2.5	5	1 station	1747
-2.5	5	1 station	1748
-2.5	5	3 stations	1749
-2.5	5	10 stations	1750
-2.5	5	5 stations	1751
-2.5	5	2 stations	1752
-2.5	5	3 stations	1753
-2.5	5	4 stations	1754
-2.5	5	11 stations	1755
-2.5	5	6 stations	1756
-2.5	5	20 stations	1757
-2.5	5	13 stations	1758
-2.5	5	4 stations	1759
-2.5	5	7 stations	1760
-2.5	5	3 stations	1761
-2.5	5	10 stations	1762
-2.5	5	3 stations	1763
-2.5	5	8 stations	1764
-2.5	5	7 stations	1765
-2.5	5	8 stations	1766
-2.5	5	2 stations	1768
-2.5	5	1 station	1775
-2.5	5	2 stations	1777
-2.5	5	13 stations	1780
-2.5	5	56 stations	1781
-2.5	5	47 stations	1782
-2.5	5	36 stations	1783
-2.5	5	32 stations	1784
-2.5	5	21 stations	1785
-2.5	5	23 stations	1786
-2.5	5	23 stations	1787
-2.5	5	18 stations	1788
-2.5	5	1 station	1789
-2.5	5	5 stations	1808
-2.5	5	10 stations	1809
-2.5	5	3 stations	1810
-2.5	5	12 stations	1811
-2.5	5	8 stations	1812
-2.5	5	19 stations	1813
-2.5	5	14 stations	1814
-2.5	5	10 stations	1815
-2.5	5	15 stations	1816
-2.5	5	8 stations	1817
-2.5	5	5 stations	1818
-2.5	5	2 stations	1819
-2.5	5	2 stations	1820
-2.5	5	5 stations	1821
-2.5	5	20 stations	1822
-2.5	5	21 stations	1823
-2.5	5	4 stations	1824
-2.5	5	6 stations	1825
-2.5	5	7 stations	1826
-2.5	5	10 stations	1827
-2.5	5	11 stations	1828
-2.5	5	12 stations	1829
-2.5	5	9 stations	1830
-2.5	5	5 stations	1831
-2.5	5	7 stations	1832
-2.5	5	6 stations	1833
-2.5	5	7 stations	1834
-2.5	5	10 stations	1835
-2.5	5	8 stations	1836
-2.5	5	9 stations	1837
-2.5	5	16 stations	1838
-2.5	5	3 stations	1842
-2.5	5	1 station	1843
-2.5	5	6 stations	1851
-2.5	5	67 stations	1852
-2.5	5	51 stations	1853
-2.5	5	66 stations	1854
-2.5	5	46 stations	1855
-2.5	5	55 stations	1856
-2.5	5	31 stations	1857
-2.5	5	33 stations	1858
-2.5	5	36 stations	1859
-2.5	5	16 stations	1860
-2.5	5	38 stations	1861
-2.5	5	2 stations	1879
-2.5	5	6 stations	1880
-2.5	5	2 stations	1881
