group	x	y	clickSelects
1619	-599572800	-7.2	517090
1619	-596894400	-2	517090
1619	-594475200	5.4	517090
1619	-591796800	13.7	517090
1619	-589204800	21.2	517090
1619	-586526400	22.2	517090
1619	-583934400	23.9	517090
1619	-581256000	25.2	517090
1619	-578577600	20.5	517090
1619	-575985600	14.1	517090
1619	-573307200	2.4	517090
1619	-570715200	-3	517090
1619	-568036800	-5.2	517090
1619	-565358400	0.1	517090
1619	-562852800	7.1	517090
1619	-560174400	16.8	517090
1619	-557582400	19.6	517090
1619	-554904000	23.8	517090
1619	-552312000	24.7	517090
1619	-549633600	24.1	517090
1619	-546955200	19.8	517090
1619	-544363200	9.9	517090
1619	-541684800	2.3	517090
1619	-539092800	-7.9	517090
1619	-536414400	-6	517090
1619	-533736000	1.3	517090
1619	-531316800	7.3	517090
1619	-528638400	13	517090
1619	-526046400	22.4	517090
1619	-523368000	23.9	517090
1619	-520776000	26.8	517090
1619	-518097600	23.7	517090
1619	-515419200	20	517090
1619	-512827200	9.1	517090
1619	-510148800	2.5	517090
1619	-507556800	-4.2	517090
1619	-504878400	-8.1	517090
1619	-502200000	-2.9	517090
1619	-499780800	7.3	517090
1619	-497102400	17.8	517090
1619	-494510400	20.4	517090
1619	-491832000	24.3	517090
1619	-489240000	25.9	517090
1619	-486561600	25.6	517090
1619	-483883200	22.3	517090
1619	-481291200	13.9	517090
1619	-478612800	5.6	517090
1619	-476020800	-7.4	517090
1619	-473342400	-7.7	517090
1619	-470664000	1.1	517090
1619	-468244800	7.9	517090
1619	-465566400	13	517090
1619	-462974400	21.1	517090
1619	-460296000	24.5	517090
1619	-457704000	26.3	517090
1619	-455025600	27.4	517090
1619	-452347200	20.3	517090
1619	-449755200	14.2	517090
1619	-447076800	4.6	517090
1619	-444484800	0.5	517090
1619	-441806400	-7.1	517090
1619	-439128000	2.2	517090
1619	-436622400	9.2	517090
1619	-433944000	16.8	517090
1619	-431352000	23.1	517090
1619	-428673600	24.5	517090
1619	-426081600	30.4	517090
1619	-423403200	26.9	517090
1619	-420724800	22.9	517090
1619	-418132800	13.6	517090
1619	-415454400	4.9	517090
1619	-412862400	-3.3	517090
1619	-410184000	-5.1	517090
1619	-407505600	-4.4	517090
1619	-405086400	10.8	517090
1619	-402408000	14.7	517090
1619	-399816000	19.5	517090
1619	-397137600	24.3	517090
1619	-394545600	25	517090
1619	-391867200	23.4	517090
1619	-389188800	18.5	517090
1619	-386596800	11.4	517090
1619	-383918400	4.5	517090
1619	-381326400	-0.8	517090
1619	-378648000	-4.2	517090
1619	-375969600	1.2	517090
1619	-373550400	9.8	517090
1619	-370872000	16.8	517090
1619	-368280000	17.9	517090
1619	-365601600	23.6	517090
1619	-363009600	25.7	517090
1619	-360331200	22.3	517090
1619	-357652800	19.9	517090
1619	-355060800	11.8	517090
1619	-352382400	3.7	517090
1619	-349790400	-0.7	517090
1619	-347112000	-6.4	517090
1619	-344433600	-2.2	517090
1619	-342014400	7.1	517090
1619	-339336000	16.1	517090
1619	-336744000	17.2	517090
1619	-334065600	23.2	517090
1619	-331473600	25.6	517090
1619	-328795200	24.9	517090
1619	-326116800	22	517090
1619	-323524800	13.9	517090
1619	-320846400	3.8	517090
