group	x	y	clickSelects
2133	-486561600	23.6	619760
2133	-483883200	23.7	619760
2133	-481291200	24.5	619760
2133	-478612800	25.6	619760
2133	-476020800	27.1	619760
2133	-473342400	28.1	619760
2133	-470664000	28.1	619760
2133	-468244800	27.9	619760
2133	-465566400	27.1	619760
2133	-462974400	25.9	619760
2133	-460296000	24.5	619760
2133	-457704000	23.3	619760
2133	-455025600	23.2	619760
2133	-452347200	23.6	619760
2133	-449755200	24.3	619760
2133	-447076800	25.8	619760
2133	-444484800	27.1	619760
2133	-441806400	27.4	619760
2133	-439128000	27	619760
2133	-436622400	27	619760
2133	-433944000	26.1	619760
2133	-431352000	25.3	619760
2133	-428673600	24	619760
2133	-426081600	23	619760
2133	-423403200	23.1	619760
2133	-420724800	23.4	619760
2133	-418132800	24.3	619760
2133	-415454400	25.3	619760
2133	-412862400	27.4	619760
2133	-410184000	28.1	619760
2133	-407505600	27.5	619760
2133	-405086400	27.6	619760
2133	-402408000	26.6	619760
2133	-399816000	25.6	619760
2133	-397137600	24.4	619760
2133	-394545600	23.8	619760
2133	-391867200	23.5	619760
2133	-389188800	23.8	619760
2133	-386596800	24.7	619760
2133	-383918400	26.1	619760
2133	-381326400	27.6	619760
2133	-378648000	27.8	619760
2133	-375969600	28.2	619760
2133	-373550400	28.1	619760
2133	-370872000	27.5	619760
2133	-368280000	25.9	619760
2133	-365601600	24.4	619760
2133	-363009600	23.7	619760
2133	-360331200	24	619760
2133	-357652800	24.4	619760
2133	-355060800	24.9	619760
2133	-352382400	26.1	619760
2133	-349790400	27.6	619760
2133	-347112000	27.8	619760
2133	-344433600	27.9	619760
2133	-342014400	27.4	619760
2133	-339336000	26.7	619760
2133	-336744000	25.7	619760
2133	-334065600	24.2	619760
2133	-331473600	23.2	619760
2133	-328795200	23	619760
2133	-326116800	23.6	619760
2133	-323524800	24.9	619760
2133	-320846400	26.4	619760
2133	-318254400	27.5	619760
2133	-315576000	27.5	619760
2133	-312897600	27.9	619760
2133	-310392000	27.5	619760
2133	-307713600	26.6	619760
2133	-305121600	26.1	619760
2133	-302443200	24.6	619760
2133	-299851200	23.4	619760
2133	-297172800	23.4	619760
2133	-294494400	23.7	619760
2133	-291902400	24.3	619760
2133	-289224000	25	619760
2133	-286632000	26.7	619760
2133	-283953600	27.3	619760
2133	-281275200	27.7	619760
2133	-278856000	28.1	619760
2133	-276177600	27.6	619760
2133	-273585600	26.6	619760
2133	-270907200	25.5	619760
2133	-268315200	24	619760
2133	-265636800	23.7	619760
2133	-262958400	23.9	619760
2133	-260366400	25	619760
2133	-257688000	26.2	619760
2133	-255096000	27.6	619760
2133	-252417600	27.2	619760
2133	-249739200	27.5	619760
2133	-247320000	27.6	619760
2133	-244641600	26.6	619760
2133	-242049600	25.2	619760
2133	-239371200	24.1	619760
2133	-236779200	23.4	619760
2133	-234100800	23.2	619760
2133	-231422400	23.9	619760
2133	-228830400	24.6	619760
2133	-226152000	25.6	619760
2133	-223560000	27	619760
2133	-220881600	27.5	619760
2133	-218203200	27.6	619760
2133	-215784000	27.6	619760
2133	-213105600	27	619760
2133	-210513600	26	619760
2133	-207835200	24.4	619760
2133	-205243200	23.4	619760
2133	-202564800	22.6	619760
2133	-199886400	22.8	619760
2133	-197294400	24	619760
2133	-194616000	25.8	619760
2133	-192024000	26.5	619760
2133	-189345600	26.6	619760
2133	-186667200	26.9	619760
2133	-184161600	27.1	619760
2133	-181483200	27	619760
2133	-178891200	25.3	619760
2133	-176212800	24.1	619760
2133	-173620800	23.1	619760
2133	-170942400	22.6	619760
2133	-168264000	23.1	619760
2133	-165672000	24.2	619760
2133	-162993600	25.1	619760
2133	-160401600	26.5	619760
2133	-157723200	27.1	619760
2133	-155044800	27.2	619760
2133	-152625600	27.1	619760
2133	-149947200	26.8	619760
2133	-147355200	25.4	619760
2133	-144676800	23.9	619760
2133	-142084800	23.7	619760
2133	-139406400	23.2	619760
2133	-136728000	23.8	619760
2133	-134136000	24.4	619760
2133	-131457600	25.6	619760
2133	-128865600	26.3	619760
